SubjectID,Gender,TD1,TD2,STEMAV,STEMAV2,NONSTEMAV,NONSTEMAV2,NBack2BackScore,NBack3BackScore,Dcorrect_Included,Dwrong_Included,mathdevalue,GRIT_SCORE,coratmpt,StigmaConsciousnessScore,MoodComp,effort,PerfPercept,SAQ1,WrongFeedback_Arousal_emotion_SelectedModularity_Theta,WrongFeedback_Arousal_emotion_SelectedModularity_Beta,WrongFeedback_Arousal_emotion_SelectedModularity_Gamma,WrongFeedback_DPD1_SelectedModularity_Theta,WrongFeedback_DPD1_SelectedModularity_Beta,WrongFeedback_DPD1_SelectedModularity_Gamma,Power_WrongFeedback_lvACC_Theta,Power_WrongFeedback_lvACC_Beta,Power_WrongFeedback_lvACC_Gamma,Power_WrongFeedback_rvACC_Theta,Power_WrongFeedback_rvACC_Beta,Power_WrongFeedback_rvACC_Gamma,STEMGradeAll
11112.00,1,3,5,398.72,385.16,405.91,393.74,0.67,0.44,0.14,0.40,4.40,2.75,12.50,3.11,47994.67,5,5,8,-0.26,-0.10,0.12,-0.29,-0.05,-0.08,9.42,0.77,0.49,5.43,1.30,0.62,95.50
11116.00,1,5,5,676.22,788.48,678.34,835.81,0.78,0.56,-0.48,0.61,2.20,2.58,18.18,3.33,2.00,7,1,1,-0.05,-0.06,-0.13,-0.02,0.05,0.04,1.16,0.38,0.42,3.57,0.96,0.38,
11118.00,1,3,4,486.60,441.75,492.52,456.13,0.72,0.39,-0.60,-0.21,4.00,2.75,66.67,3.33,3.50,3,3,5,0.01,-0.15,-0.29,-0.12,-0.22,-0.24,1.08,0.66,0.37,0.41,0.23,0.40,
11120.00,1,4,5,542.77,521.77,525.83,526.16,0.83,0.56,-0.01,0.39,3.20,2.92,,3.44,1.00,4,3,8,0.07,-0.14,-0.22,-0.10,-0.04,0.05,5.53,0.60,0.80,1.17,0.62,0.45,98.00
11122.00,1,4,4,695.42,572.28,664.84,661.16,0.44,0.50,0.32,0.57,3.60,2.92,100.00,1.56,2.50,6,2,6,-0.06,-0.13,-0.03,-0.19,-0.10,-0.25,2.37,0.90,0.40,3.28,0.35,0.46,84.50
11125.00,1,5,2,422.30,433.72,430.61,437.07,0.61,0.56,0.24,0.46,3.60,2.83,50.00,3.11,1.00,2,1,6,0.01,0.04,0.06,-0.37,-0.30,-0.29,15.15,5.24,2.19,3.55,3.51,1.74,89.50
11128.00,1,3,4,507.94,460.71,550.75,476.16,0.39,0.17,0.04,0.39,2.20,2.67,100.00,3.22,2.25,6,3,6,-0.13,-0.12,-0.07,-1.12,-0.45,-0.31,4.51,1.77,1.07,2.85,0.89,0.75,88.50
11133.00,1,2,5,,,,,,,,,3.20,2.92,33.33,2.75,1.00,5,2,8,,,,,,,,,,,,,96.00
11135.00,1,4,3,504.91,417.54,496.28,425.81,0.61,0.56,-0.06,0.16,1.80,3.00,40.00,3.13,1.00,6,3,7,-0.12,-0.19,-0.15,-0.06,-0.20,-0.06,2.59,0.29,0.33,3.22,0.39,0.56,88.00
11136.00,1,4,4,540.90,508.09,544.72,503.00,0.94,0.61,0.18,0.39,2.80,2.92,100.00,2.56,1.00,6,3,8,-0.13,-0.13,-0.12,-0.13,-0.06,-0.08,1.32,0.32,0.11,1.47,0.36,0.12,
22221.00,1,7,4,732.71,633.58,700.67,541.19,0.33,0.44,0.37,1.14,3.40,2.58,0.00,3.22,1.25,4,5,8,-0.06,0.07,0.10,-0.13,-0.16,0.00,5.70,2.84,1.54,4.40,2.92,1.28,91.00
22222.00,1,3,6,447.44,466.45,430.69,455.97,0.78,0.72,0.67,0.60,2.80,3.00,0.00,3.88,2.00,3,2,8,,,,,,,,,,,,,94.00
22224.00,1,1,1,717.73,766.77,780.69,857.37,0.61,0.67,0.29,0.39,1.40,2.75,0.00,3.14,1.75,6,3,9,-0.21,-0.20,-0.32,-0.13,-0.14,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,85.00
22225.00,1,2,3,613.77,533.84,603.88,541.94,0.61,0.61,0.11,0.81,2.80,2.67,0.00,2.83,2.00,6,3,8,-0.09,0.00,-0.09,-0.27,-0.26,-0.25,2.39,1.21,0.52,0.46,1.11,0.48,88.00
22226.00,1,5,4,517.03,522.45,500.28,511.91,0.67,0.67,0.17,-0.10,3.80,3.08,40.00,3.50,1.50,3,2,6,0.01,0.05,-0.10,-0.13,-0.21,-0.22,4.29,2.21,0.60,2.64,1.41,0.88,89.00
33334.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.00
33335.00,1,1,2,436.07,406.17,483.22,437.77,,,0.34,0.29,2.00,2.67,0.00,3.13,2.00,7,1,4,0.07,-0.21,-0.16,-0.08,-0.35,-0.28,5.70,2.10,1.81,0.96,0.35,0.44,90.00
33337.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.00
33338.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.00
